CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
55        0.0096  libjemalloc.so.2         libjemalloc.so.2         je_tcache_event_hard
55        0.0096  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::allocateAligned(rml::internal::MemoryPool*, unsigned long, unsigned long)
54        0.0095  libgdk-x11-2.0.so.0.2400.28 libgdk-x11-2.0.so.0.2400.28 /usr/lib64/libgdk-x11-2.0.so.0.2400.28
53        0.0093  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evutil_gettime_monotonic_
52        0.0091  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_run_writecb_
50        0.0088  libjemalloc.so.2         libjemalloc.so.2         extents_insert_locked.isra.76
49        0.0086  libc-2.17.so             libc-2.17.so             __memmove_ssse3_back
48        0.0084  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    gettime
46        0.0081  libjemalloc.so.2         libjemalloc.so.2         je_free_default
45        0.0079  vim                      vim                      /usr/bin/vim
44        0.0077  libtbbmalloc.so.2        libtbbmalloc.so.2        scalable_aligned_malloc
41        0.0072  libjemalloc.so.2         libjemalloc.so.2         extents_remove_locked.isra.77
41        0.0072  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::converter()
40        0.0070  libtbb.so.2              libtbb.so.2              tbb::internal::NFS_Allocate(unsigned long, unsigned long, void*)
39        0.0068  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_inbuf_wm_check
38        0.0067  libc-2.17.so             libc-2.17.so             epoll_wait
38        0.0067  server                   server                   tbb::cache_aligned_allocator<char>::allocate(unsigned long, void const*)
38        0.0067  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::allocate_block(unsigned long)
37        0.0065  libc-2.17.so             libc-2.17.so             _int_malloc
37        0.0065  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_debug_assert_is_setup_
37        0.0065  libpthread-2.17.so       libpthread-2.17.so       pthread_self
36        0.0063  oprofiled                oprofiled                /usr/bin/oprofiled
35        0.0061  anon (tgid:67080 range:0x7fcab182b000-0x7fcab184b000) firefox                  anon (tgid:67080 range:0x7fcab182b000-0x7fcab184b000)
35        0.0061  libm-2.17.so             libm-2.17.so             __ceil_sse41
35        0.0061  mandb                    mandb                    /usr/bin/mandb
33        0.0058  bash                     bash                     /usr/bin/bash
33        0.0058  libc-2.17.so             libc-2.17.so             __GI_____strtoull_l_internal
33        0.0058  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_read
33        0.0058  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Bin::getPrivatizedFreeListBlock()
33        0.0058  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::deallocate_block(void*, unsigned long)
33        0.0058  server                   server                   tbb::strict_ppl::internal::micro_queue<queue_task>::destroyer::~destroyer()
